country_code,country_name,year,uhc_index
AUS,Australia,2000,84
AUS,Australia,2001,85
AUS,Australia,2002,85
AUS,Australia,2003,86
AUS,Australia,2004,86
AUS,Australia,2005,86
AUS,Australia,2006,86
AUS,Australia,2007,87
AUS,Australia,2008,87
AUS,Australia,2009,87
AUS,Australia,2010,88
AUS,Australia,2011,88
AUS,Australia,2012,89
AUS,Australia,2013,89
AUS,Australia,2014,89
AUS,Australia,2015,89
AUS,Australia,2016,89
AUS,Australia,2017,89
AUS,Australia,2018,89
AUS,Australia,2019,89
AUS,Australia,2020,89
AUS,Australia,2021,89
AUS,Australia,2022,89
AUS,Australia,2023,89
CAN,Canada,2000,82
CAN,Canada,2001,83
CAN,Canada,2002,84
CAN,Canada,2003,84
CAN,Canada,2004,85
CAN,Canada,2005,85
CAN,Canada,2006,86
CAN,Canada,2007,86
CAN,Canada,2008,87
CAN,Canada,2009,87
CAN,Canada,2010,87
CAN,Canada,2011,90
CAN,Canada,2012,90
CAN,Canada,2013,91
CAN,Canada,2014,91
CAN,Canada,2015,91
CAN,Canada,2016,91
CAN,Canada,2017,92
CAN,Canada,2018,92
CAN,Canada,2019,92
CAN,Canada,2020,92
CAN,Canada,2021,92
CAN,Canada,2022,92
CAN,Canada,2023,92
CHE,Switzerland,2000,81
CHE,Switzerland,2001,81
CHE,Switzerland,2002,81
CHE,Switzerland,2003,82
CHE,Switzerland,2004,82
CHE,Switzerland,2005,82
CHE,Switzerland,2006,83
CHE,Switzerland,2007,83
CHE,Switzerland,2008,83
CHE,Switzerland,2009,83
CHE,Switzerland,2010,84
CHE,Switzerland,2011,84
CHE,Switzerland,2012,85
CHE,Switzerland,2013,85
CHE,Switzerland,2014,85
CHE,Switzerland,2015,86
CHE,Switzerland,2016,86
CHE,Switzerland,2017,86
CHE,Switzerland,2018,86
CHE,Switzerland,2019,86
CHE,Switzerland,2020,86
CHE,Switzerland,2021,86
CHE,Switzerland,2022,87
CHE,Switzerland,2023,87
DEU,Germany,2000,79
DEU,Germany,2001,80
DEU,Germany,2002,80
DEU,Germany,2003,81
DEU,Germany,2004,81
DEU,Germany,2005,82
DEU,Germany,2006,82
DEU,Germany,2007,82
DEU,Germany,2008,83
DEU,Germany,2009,83
DEU,Germany,2010,84
DEU,Germany,2011,85
DEU,Germany,2012,85
DEU,Germany,2013,86
DEU,Germany,2014,86
