geography,geo_level,year,group,count,share
Calgary,cma,2001,Buddhist,16635.0,1.76
Calgary,cma,2011,Buddhist,23260.0,1.94
Calgary,cma,2021,Buddhist,22125.0,1.51
Calgary,cma,2001,Christian,632285.0,67.03
Calgary,cma,2011,Christian,667110.0,55.63
Calgary,cma,2021,Christian,656310.0,44.79
Calgary,cma,2001,Hindu,7260.0,0.77
Calgary,cma,2011,Hindu,17835.0,1.49
Calgary,cma,2021,Hindu,34920.0,2.38
Calgary,cma,2001,Jewish,6535.0,0.69
Calgary,cma,2011,Jewish,6170.0,0.51
Calgary,cma,2021,Jewish,6705.0,0.46
Calgary,cma,2001,Muslim,25915.0,2.75
Calgary,cma,2011,Muslim,58310.0,4.86
Calgary,cma,2021,Muslim,100825.0,6.88
Calgary,cma,2001,No religion / secular,237575.0,25.19
Calgary,cma,2011,No religion / secular,388365.0,32.39
Calgary,cma,2021,No religion / secular,576025.0,39.31
Calgary,cma,2001,Other religions,3040.0,0.32
Calgary,cma,2011,Other religions,6465.0,0.54
Calgary,cma,2021,Other religions,10725.0,0.73
Calgary,cma,2001,Sikh,13325.0,1.41
Calgary,cma,2011,Sikh,30420.0,2.54
Calgary,cma,2021,Sikh,56060.0,3.83
Calgary,cma,2001,Indigenous,735.0,0.08
Calgary,cma,2011,Indigenous,1195.0,0.1
Calgary,cma,2021,Indigenous,1480.0,0.1
Edmonton,cma,2001,Buddhist,14040.0,1.51
Edmonton,cma,2011,Buddhist,17570.0,1.54
Edmonton,cma,2021,Buddhist,16465.0,1.18
Edmonton,cma,2001,Christian,649205.0,70.03
Edmonton,cma,2011,Christian,673165.0,59.07
Edmonton,cma,2021,Christian,655715.0,46.91
Edmonton,cma,2001,Hindu,7825.0,0.84
Edmonton,cma,2011,Hindu,15615.0,1.37
Edmonton,cma,2021,Hindu,35830.0,2.56
Edmonton,cma,2001,Jewish,3980.0,0.43
Edmonton,cma,2011,Jewish,3790.0,0.33
Edmonton,cma,2021,Jewish,3820.0,0.27
Edmonton,cma,2001,Muslim,19580.0,2.11
Edmonton,cma,2011,Muslim,46125.0,4.05
Edmonton,cma,2021,Muslim,86120.0,6.16
Edmonton,cma,2001,No religion / secular,218905.0,23.61
Edmonton,cma,2011,No religion / secular,354935.0,31.15
Edmonton,cma,2021,No religion / secular,539075.0,38.57
Edmonton,cma,2001,Other religions,2970.0,0.32
Edmonton,cma,2011,Other religions,5585.0,0.49
Edmonton,cma,2021,Other religions,12785.0,0.91
Edmonton,cma,2001,Sikh,9400.0,1.01
Edmonton,cma,2011,Sikh,20425.0,1.79
Edmonton,cma,2021,Sikh,44440.0,3.18
Edmonton,cma,2001,Indigenous,1100.0,0.12
Edmonton,cma,2011,Indigenous,2375.0,0.21
Edmonton,cma,2021,Indigenous,3495.0,0.25
Halifax,cma,2001,Buddhist,1480.0,0.42
Halifax,cma,2011,Buddhist,1590.0,0.41
Halifax,cma,2021,Buddhist,2205.0,0.48
Halifax,cma,2001,Christian,301830.0,84.8
Halifax,cma,2011,Christian,274965.0,71.5
Halifax,cma,2021,Christian,245770.0,53.3
Halifax,cma,2001,Hindu,960.0,0.27
Halifax,cma,2011,Hindu,1540.0,0.4
Halifax,cma,2021,Hindu,6855.0,1.49
Halifax,cma,2001,Jewish,1575.0,0.44
Halifax,cma,2011,Jewish,1345.0,0.35
Halifax,cma,2021,Jewish,1775.0,0.38
Halifax,cma,2001,Muslim,3070.0,0.86
Halifax,cma,2011,Muslim,7540.0,1.96
Halifax,cma,2021,Muslim,13265.0,2.88
Halifax,cma,2001,No religion / secular,45905.0,12.9
Halifax,cma,2011,No religion / secular,95660.0,24.88
Halifax,cma,2021,No religion / secular,183885.0,39.88
Halifax,cma,2001,Other religions,910.0,0.26
Halifax,cma,2011,Other religions,1515.0,0.39
Halifax,cma,2021,Other religions,3455.0,0.75
Halifax,cma,2001,Sikh,175.0,0.05
Halifax,cma,2011,Sikh,350.0,0.09
Halifax,cma,2021,Sikh,3540.0,0.77
Halifax,cma,2001,Indigenous,40.0,0.01
Halifax,cma,2011,Indigenous,45.0,0.01
Halifax,cma,2021,Indigenous,380.0,0.08
Montréal,cma,2001,Buddhist,37835.0,1.12
Montréal,cma,2011,Buddhist,47350.0,1.26
Montréal,cma,2021,Buddhist,42540.0,1.01
Montréal,cma,2001,Christian,2859005.0,84.57
Montréal,cma,2011,Christian,2790920.0,74.38
Montréal,cma,2021,Christian,2431435.0,57.8
Montréal,cma,2001,Hindu,24075.0,0.71
Montréal,cma,2011,Hindu,32280.0,0.86
Montréal,cma,2021,Hindu,45565.0,1.08
Montréal,cma,2001,Jewish,88765.0,2.63
Montréal,cma,2011,Jewish,83200.0,2.22
Montréal,cma,2021,Jewish,82080.0,1.95
Montréal,cma,2001,Muslim,100185.0,2.96
Montréal,cma,2011,Muslim,221040.0,5.89
Montréal,cma,2021,Muslim,365670.0,8.69
Montréal,cma,2001,No religion / secular,258290.0,7.64
Montréal,cma,2011,No religion / secular,560650.0,14.94
Montréal,cma,2021,No religion / secular,1200085.0,28.53
Montréal,cma,2001,Other religions,4350.0,0.13
Montréal,cma,2011,Other religions,7620.0,0.2
Montréal,cma,2021,Other religions,15785.0,0.38
Montréal,cma,2001,Sikh,7935.0,0.23
Montréal,cma,2011,Sikh,9205.0,0.25
Montréal,cma,2021,Sikh,22990.0,0.55
Montréal,cma,2001,Indigenous,200.0,0.01
Montréal,cma,2011,Indigenous,200.0,0.01
Montréal,cma,2021,Indigenous,295.0,0.01
