country_code,country_name,year,population
IND,India,2025,1463865525
CHN,China,2025,1406585000
USA,United States,2025,341784857
IDN,Indonesia,2025,285721236
PAK,Pakistan,2025,255219554
NGA,Nigeria,2025,237527782
BRA,Brazil,2025,212812405
BGD,Bangladesh,2025,175686899
RUS,Russian Federation,2025,143513328
ETH,Ethiopia,2025,135472051
MEX,Mexico,2025,131946900
JPN,Japan,2025,123366734
EGY,"Egypt, Arab Rep.",2025,118365995
PHL,Philippines,2025,116786962
COD,"Congo, Dem. Rep.",2025,112832473
VNM,Viet Nam,2025,101598527
IRN,"Iran, Islamic Rep.",2025,92417681
TUR,Turkiye,2025,85878556
DEU,Germany,2025,83491249
THA,Thailand,2025,71619863
TZA,Tanzania,2025,70545865
GBR,United Kingdom,2025,69487000
FRA,France,2025,68720337
ZAF,South Africa,2025,64747319
ITA,Italy,2025,58915656
KEN,Kenya,2025,57532493
MMR,Myanmar,2025,54850648
COL,Colombia,2025,53425635
KOR,"Korea, Rep.",2025,51684564
SDN,Sudan,2025,51662147
UGA,Uganda,2025,51384894
ESP,Spain,2025,49355143
DZA,Algeria,2025,47435312
IRQ,Iraq,2025,47020774
ARG,Argentina,2025,45851378
AFG,Afghanistan,2025,43844111
YEM,"Yemen, Rep.",2025,41773878
CAN,Canada,2025,41651653
AGO,Angola,2025,39040039
UKR,Ukraine,2025,38980376
MAR,Morocco,2025,38430770
UZB,Uzbekistan,2025,37053428
SAU,Saudi Arabia,2025,36973555
POL,Poland,2025,36435861
MYS,Malaysia,2025,35977838
MOZ,Mozambique,2025,35631653
GHA,Ghana,2025,35064272
PER,Peru,2025,34576665
MDG,Madagascar,2025,32740678
CIV,Cote d'Ivoire,2025,32711547
CMR,Cameroon,2025,29879337
NPL,Nepal,2025,29618118
VEN,"Venezuela, RB",2025,28516896
NER,Niger,2025,27917831
AUS,Australia,2025,27614411
PRK,"Korea, Dem. People's Rep.",2025,26571036
SYR,Syrian Arab Republic,2025,25620427
MLI,Mali,2025,25198821
BFA,Burkina Faso,2025,24074580
MWI,Malawi,2025,22216120
ZMB,Zambia,2025,21913874
LKA,Sri Lanka,2025,21756000
TCD,Chad,2025,21003705
KAZ,Kazakhstan,2025,20843754
CHL,Chile,2025,19859921
SOM,"Somalia, Fed. Rep.",2025,19654739
ROU,Romania,2025,19020271
SEN,Senegal,2025,18931966
GTM,Guatemala,2025,18687881
ECU,Ecuador,2025,18289896
NLD,Netherlands,2025,18087633
KHM,Cambodia,2025,17847982
ZWE,Zimbabwe,2025,16950795
GIN,Guinea,2025,15099727
BEN,Benin,2025,14814460
RWA,Rwanda,2025,14569341
BDI,Burundi,2025,14390003
BOL,Bolivia,2025,12581843
TUN,Tunisia,2025,12348573
SSD,South Sudan,2025,12188788
BEL,Belgium,2025,11941781
HTI,Haiti,2025,11906095
JOR,Jordan,2025,11520684
DOM,Dominican Republic,2025,11520487
ARE,United Arab Emirates,2025,11513149
HND,Honduras,2025,11005850
CUB,Cuba,2025,10937203
CZE,Czechia,2025,10886878
PRT,Portugal,2025,10804871
TJK,Tajikistan,2025,10786734
PNG,Papua New Guinea,2025,10762817
SWE,Sweden,2025,10596620
GRC,Greece,2025,10413962
AZE,Azerbaijan,2025,10246996
ISR,Israel,2025,10122800
HUN,Hungary,2025,9514251
AUT,Austria,2025,9208163
CHE,Switzerland,2025,9092436
BLR,Belarus,2025,9085991
SLE,Sierra Leone,2025,8819794
TGO,Togo,2025,8591626
LAO,Lao PDR,2025,7873046
TKM,Turkmenistan,2025,7618847
HKG,"Hong Kong SAR, China",2025,7498900
LBY,Libya,2025,7458555
KGZ,Kyrgyz Republic,2025,7343064
PRY,Paraguay,2025,7013078
NIC,Nicaragua,2025,7007502
SRB,Serbia,2025,6549143
COG,"Congo, Rep.",2025,6484437
BGR,Bulgaria,2025,6433302
SLV,El Salvador,2025,6365503
SGP,Singapore,2025,6111175
DNK,Denmark,2025,6009169
LBN,Lebanon,2025,5849421
LBR,Liberia,2025,5731206
FIN,Finland,2025,5646436
NOR,Norway,2025,5610870
CAF,Central African Republic,2025,5513282
OMN,Oman,2025,5494691
IRL,Ireland,2025,5484367
SVK,Slovak Republic,2025,5413813
PSE,West Bank and Gaza,2025,5413596
NZL,New Zealand,2025,5324700
MRT,Mauritania,2025,5315065
CRI,Costa Rica,2025,5152950
KWT,Kuwait,2025,4865298
PAN,Panama,2025,4571189
GEO,Georgia,2025,3935766
HRV,Croatia,2025,3876200
ERI,Eritrea,2025,3607003
MNG,Mongolia,2025,3568978
URY,Uruguay,2025,3384688
PRI,Puerto Rico (US),2025,3184835
BIH,Bosnia and Herzegovina,2025,3140095
NAM,Namibia,2025,3092816
ARM,Armenia,2025,3086700
QAT,Qatar,2025,2972215
LTU,Lithuania,2025,2888774
JAM,Jamaica,2025,2837077
GMB,"Gambia, The",2025,2822093
GAB,Gabon,2025,2593130
BWA,Botswana,2025,2562122
LSO,Lesotho,2025,2363325
MDA,Moldova,2025,2360527
ALB,Albania,2025,2349580
GNB,Guinea-Bissau,2025,2249515
SVN,Slovenia,2025,2130986
GNQ,Equatorial Guinea,2025,1938431
LVA,Latvia,2025,1847785
MKD,North Macedonia,2025,1820909
BHR,Bahrain,2025,1600366
XKX,Kosovo,2025,1576876
TLS,Timor-Leste,2025,1418517
CYP,Cyprus,2025,1370754
TTO,Trinidad and Tobago,2025,1367764
EST,Estonia,2025,1366475
SWZ,Eswatini,2025,1256174
MUS,Mauritius,2025,1243741
DJI,Djibouti,2025,1184076
FJI,Fiji,2025,933154
COM,Comoros,2025,882847
SLB,Solomon Islands,2025,838645
GUY,Guyana,2025,835986
BTN,Bhutan,2025,796682
LUX,Luxembourg,2025,686970
MAC,"Macao SAR, China",2025,685900
SUR,Suriname,2025,639850
MNE,Montenegro,2025,623129
MLT,Malta,2025,579704
MDV,Maldives,2025,529676
CPV,Cabo Verde,2025,527326
BRN,Brunei Darussalam,2025,466330
BLZ,Belize,2025,422924
BHS,"Bahamas, The",2025,403033
ISL,Iceland,2025,392404
VUT,Vanuatu,2025,335169
NCL,New Caledonia,2025,295333
BRB,Barbados,2025,282623
PYF,French Polynesia,2025,282465
STP,Sao Tome and Principe,2025,240254
WSM,Samoa,2025,219306
LCA,St. Lucia,2025,180149
GUM,Guam,2025,168999
CHI,Channel Islands,2025,168466
CUW,Curacao,2025,156263
KIR,Kiribati,2025,136488
SYC,Seychelles,2025,122730
GRD,Grenada,2025,117303
FSM,"Micronesia, Fed. Sts.",2025,113683
ABW,Aruba,2025,108785
VIR,Virgin Islands (U.S.),2025,103792
TON,Tonga,2025,103742
VCT,St. Vincent and the Grenadines,2025,99924
ATG,Antigua and Barbuda,2025,94209
IMN,Isle of Man,2025,84118
AND,Andorra,2025,82904
CYM,Cayman Islands,2025,75844
DMA,Dominica,2025,65871
BMU,Bermuda,2025,64555
GRL,Greenland,2025,56831
FRO,Faroe Islands,2025,54900
KNA,St. Kitts and Nevis,2025,46922
TCA,Turks and Caicos Islands,2025,46855
ASM,American Samoa,2025,46029
SXM,Sint Maarten (Dutch part),2025,43923
MNP,Northern Mariana Islands,2025,43541
LIE,Liechtenstein,2025,41024
GIB,Gibraltar,2025,40126
VGB,British Virgin Islands,2025,39732
MCO,Monaco,2025,38341
MHL,Marshall Islands,2025,36282
SMR,San Marino,2025,34109
MAF,St. Martin (French part),2025,24941
PLW,Palau,2025,17663
NRU,Naoero,2025,12025
TUV,Tuvalu,2025,9492
