country_code,year,unemployment_rate,country_name
AUS,2000,6.2855462083,Australia
AUS,2001,6.7421730417,Australia
AUS,2002,6.3689113333,Australia
AUS,2003,5.9284202917,Australia
AUS,2004,5.39673355,Australia
AUS,2005,5.0338807416,Australia
AUS,2006,4.785239725,Australia
AUS,2007,4.3791515083,Australia
AUS,2008,4.2343297083,Australia
AUS,2009,5.5603854333,Australia
AUS,2010,5.2133404417,Australia
AUS,2011,5.0811951833,Australia
AUS,2012,5.2233758583,Australia
AUS,2013,5.6619398,Australia
AUS,2014,6.0772443167,Australia
AUS,2015,6.0564234083,Australia
AUS,2016,5.714148675,Australia
AUS,2017,5.6063316333,Australia
AUS,2018,5.3088154666,Australia
AUS,2019,5.1649474334,Australia
AUS,2020,6.4429641333,Australia
AUS,2021,5.140257125,Australia
AUS,2022,3.725104275,Australia
AUS,2023,3.6869302583,Australia
AUS,2024,4.01421206666667,Australia
AUS,2025,4.197332425,Australia
CAN,2000,6.8166666666,Canada
CAN,2001,7.2166666667,Canada
CAN,2002,7.675,Canada
CAN,2003,7.575,Canada
CAN,2004,7.1916666667,Canada
CAN,2005,6.7583333334,Canada
CAN,2006,6.4666666667,Canada
CAN,2007,6.1666666667,Canada
CAN,2008,6.2916666667,Canada
CAN,2009,8.45,Canada
CAN,2010,8.175,Canada
CAN,2011,7.6416666667,Canada
CAN,2012,7.4166666667,Canada
CAN,2013,7.1666666667,Canada
CAN,2014,7.0416666667,Canada
CAN,2015,7.0,Canada
CAN,2016,7.0666666666,Canada
CAN,2017,6.4333333334,Canada
CAN,2018,5.8416666667,Canada
CAN,2019,5.6833333334,Canada
CAN,2020,9.6916666667,Canada
CAN,2021,7.5333333333,Canada
CAN,2022,5.275,Canada
CAN,2023,5.3833333334,Canada
CAN,2024,6.35,Canada
CAN,2025,6.825,Canada
CHE,2010,4.8036253703,Switzerland
CHE,2011,4.401668394,Switzerland
CHE,2012,4.4841882373,Switzerland
CHE,2013,4.7472921422,Switzerland
CHE,2014,4.8299875154,Switzerland
CHE,2015,4.8006385962,Switzerland
CHE,2016,4.9191804927,Switzerland
CHE,2017,4.7975875316,Switzerland
CHE,2018,4.7144139637,Switzerland
CHE,2019,4.3944518423,Switzerland
CHE,2020,4.8153279549,Switzerland
CHE,2021,5.0150582367,Switzerland
CHE,2022,4.1233111675,Switzerland
CHE,2023,4.0431936571,Switzerland
CHE,2024,4.3406841976,Switzerland
CHE,2025,4.840408452,Switzerland
DEU,2000,8.0083333333,Germany
DEU,2001,7.8583333333,Germany
DEU,2002,8.6833333333,Germany
DEU,2003,9.8083333333,Germany
DEU,2004,10.5,Germany
DEU,2005,11.2833333333,Germany
