country_code,year,gdp_per_capita,country_name
AUS,1960,2416.334254,Australia
AUS,1961,2386.940268,Australia
AUS,1962,2581.353216,Australia
AUS,1963,2756.635991,Australia
AUS,1964,2906.845552,Australia
AUS,1965,3006.455691,Australia
AUS,1966,3280.415173,Australia
AUS,1967,3452.320714,Australia
AUS,1968,3838.835383,Australia
AUS,1969,4214.171147,Australia
AUS,1970,4652.812692,Australia
AUS,1971,4864.340515,Australia
AUS,1972,5211.228209,Australia
AUS,1973,5796.882203,Australia
AUS,1974,6246.853384,Australia
AUS,1975,6940.113055,Australia
AUS,1976,7397.686689,Australia
AUS,1977,7728.616881,Australia
AUS,1978,8555.173811,Australia
AUS,1979,9458.052495,Australia
AUS,1980,10480.305581,Australia
AUS,1981,11958.777349,Australia
AUS,1982,11991.247808,Australia
AUS,1983,12779.920133,Australia
AUS,1984,13608.814387,Australia
AUS,1985,14512.563642,Australia
AUS,1986,14985.11603,Australia
AUS,1987,16052.482591,Australia
AUS,1988,17130.047676,Australia
AUS,1989,17837.082177,Australia
AUS,1990,17842.555788,Australia
AUS,1991,18181.426669,Australia
AUS,1992,19162.19034,Australia
AUS,1993,20189.817672,Australia
AUS,1994,21439.100452,Australia
AUS,1995,22456.376803,Australia
AUS,1996,23293.030235,Australia
AUS,1997,24499.978975,Australia
AUS,1998,25735.845598,Australia
AUS,1999,27208.279601,Australia
AUS,2000,28383.758256,Australia
AUS,2001,29598.855133,Australia
AUS,2002,30874.6635,Australia
AUS,2003,32455.802496,Australia
AUS,2004,34073.725779,Australia
AUS,2005,35744.901831,Australia
AUS,2006,38017.435478,Australia
AUS,2007,39775.93811,Australia
AUS,2008,40265.695798,Australia
AUS,2009,41809.667046,Australia
AUS,2010,42957.875627,Australia
AUS,2011,44606.453212,Australia
AUS,2012,44090.917262,Australia
AUS,2013,47993.815498,Australia
AUS,2014,47826.208476,Australia
AUS,2015,47423.450756,Australia
AUS,2016,50303.970339,Australia
AUS,2017,50883.026163,Australia
AUS,2018,53266.016756,Australia
AUS,2019,53800.656575,Australia
AUS,2020,56963.307721,Australia
AUS,2021,65186.007703,Australia
AUS,2022,72895.13163,Australia
AUS,2023,75161.720824,Australia
AUS,2024,74778.445173,Australia
AUS,2025,75328.068621,Australia
CAN,1970,4577.896026,Canada
CAN,1971,4939.084343,Canada
CAN,1972,5374.41826,Canada
CAN,1973,5976.851748,Canada
CAN,1974,6640.091969,Canada
CAN,1975,7260.531796,Canada
CAN,1976,8005.210909,Canada
CAN,1977,8700.734399,Canada
CAN,1978,9564.969348,Canada
CAN,1979,10638.611907,Canada
CAN,1980,11700.29183,Canada
CAN,1981,13082.416253,Canada
CAN,1982,13291.833004,Canada
CAN,1983,14027.02935,Canada
CAN,1984,15245.746296,Canada
CAN,1985,16323.193821,Canada
CAN,1986,16836.991625,Canada
CAN,1987,17721.553372,Canada
CAN,1988,18909.146533,Canada
CAN,1989,19752.234676,Canada
CAN,1990,20225.963903,Canada
CAN,1991,20219.876298,Canada
CAN,1992,20619.296282,Canada
CAN,1993,21432.206224,Canada
CAN,1994,22624.40854,Canada
CAN,1995,23474.191619,Canada
CAN,1996,24054.909784,Canada
CAN,1997,25264.739189,Canada
CAN,1998,26323.888803,Canada
CAN,1999,27841.629576,Canada
CAN,2000,29348.004024,Canada
CAN,2001,30241.254292,Canada
CAN,2002,30964.090895,Canada
CAN,2003,32350.022187,Canada
CAN,2004,33929.459134,Canada
CAN,2005,36328.812413,Canada
CAN,2006,38123.399534,Canada
CAN,2007,39572.940444,Canada
CAN,2008,40376.111571,Canada
CAN,2009,38863.259385,Canada
CAN,2010,40103.172318,Canada
CAN,2011,41666.848683,Canada
CAN,2012,42291.886605,Canada
CAN,2013,44300.991977,Canada
CAN,2014,45758.133114,Canada
CAN,2015,44668.065118,Canada
CAN,2016,46470.675161,Canada
CAN,2017,48317.404026,Canada
CAN,2018,49982.649045,Canada
CAN,2019,50498.963113,Canada
CAN,2020,48590.716417,Canada
CAN,2021,56995.206995,Canada
CAN,2022,64217.184872,Canada
CAN,2023,64962.191146,Canada
CAN,2024,65482.971712,Canada
CAN,2025,66782.722578,Canada
CHE,1970,7470.056714,Switzerland
CHE,1971,8070.350493,Switzerland
CHE,1972,8609.84172,Switzerland
CHE,1973,9300.844733,Switzerland
CHE,1974,10255.283048,Switzerland
CHE,1975,10480.71509,Switzerland
CHE,1976,11023.155207,Switzerland
CHE,1977,12025.065228,Switzerland
CHE,1978,12890.593643,Switzerland
CHE,1979,14266.721166,Switzerland
CHE,1980,16183.670289,Switzerland
CHE,1981,17875.660479,Switzerland
CHE,1982,18621.276207,Switzerland
CHE,1983,19430.01923,Switzerland
CHE,1984,20662.760156,Switzerland
CHE,1985,22003.983767,Switzerland
CHE,1986,22726.504655,Switzerland
CHE,1987,23493.061559,Switzerland
CHE,1988,24921.172235,Switzerland
CHE,1989,26812.763847,Switzerland
CHE,1990,28527.83837,Switzerland
CHE,1991,28866.513703,Switzerland
CHE,1992,29243.634389,Switzerland
CHE,1993,29703.313022,Switzerland
CHE,1994,30513.277505,Switzerland
CHE,1995,31025.119726,Switzerland
CHE,1996,31715.596853,Switzerland
CHE,1997,32883.802553,Switzerland
CHE,1998,33923.833429,Switzerland
CHE,1999,34868.119653,Switzerland
CHE,2000,36754.412742,Switzerland
CHE,2001,37986.996002,Switzerland
CHE,2002,38985.523549,Switzerland
CHE,2003,38925.572654,Switzerland
CHE,2004,40389.426569,Switzerland
CHE,2005,41858.571444,Switzerland
CHE,2006,46666.205331,Switzerland
CHE,2007,51440.467063,Switzerland
CHE,2008,54199.305778,Switzerland
CHE,2009,53629.434642,Switzerland
CHE,2010,55345.278404,Switzerland
CHE,2011,58426.596007,Switzerland
CHE,2012,60440.858403,Switzerland
CHE,2013,62750.41153,Switzerland
CHE,2014,64694.919108,Switzerland
CHE,2015,66359.720834,Switzerland
CHE,2016,68350.738713,Switzerland
CHE,2017,69271.922067,Switzerland
CHE,2018,72135.594132,Switzerland
CHE,2019,75229.392615,Switzerland
CHE,2020,74331.495449,Switzerland
CHE,2021,83489.774787,Switzerland
CHE,2022,94573.219486,Switzerland
CHE,2023,93660.927898,Switzerland
CHE,2024,97357.187908,Switzerland
CHE,2025,102489.131124,Switzerland
DEU,1970,4045.78506,Germany
DEU,1971,4348.476666,Germany
DEU,1972,4709.445392,Germany
DEU,1973,5188.955121,Germany
